via,numero_de_la_via,via,cruce_1,via,cruce_2,direccion_completa,precio,zona
Calle,7,Avenida,36,Avenida,38,Calle 7 entre Avenida 36 y Avenida 38,300,Reina
Calle,7,Avenida,38,Avenida,40,Calle 7 entre Avenida 38 y Avenida 40,300,Reina
Calle,7,Avenida,40,Avenida,42,Calle 7 entre Avenida 40 y Avenida 42,300,Reina
Calle,7,Avenida,42,Avenida,44,Calle 7 entre Avenida 42 y Avenida 44,300,Reina
Calle,7,Avenida,44,Avenida,46,Calle 7 entre Avenida 44 y Avenida 46,300,Reina
Calle,7,Avenida,46,Avenida,48,Calle 7 entre Avenida 46 y Avenida 48,300,Reina
Calle,7,Avenida,48,Avenida,50,Calle 7 entre Avenida 48 y Avenida 50,300,Reina
Calle,7,Avenida,50,Avenida,52,Calle 7 entre Avenida 50 y Avenida 52,300,Reina
Calle,9,Avenida,34,Avenida,36,Calle 9 entre Avenida 34 y Avenida 36,300,Reina
Calle,9,Avenida,36,Avenida,38,Calle 9 entre Avenida 36 y Avenida 38,300,Reina
Calle,9,Avenida,38,Avenida,40,Calle 9 entre Avenida 38 y Avenida 40,300,Reina
Calle,9,Avenida,40,Avenida,42,Calle 9 entre Avenida 40 y Avenida 42,300,Reina
Calle,9,Avenida,42,Avenida,44,Calle 9 entre Avenida 42 y Avenida 44,300,Reina
Calle,9,Avenida,44,Avenida,46,Calle 9 entre Avenida 44 y Avenida 46,300,Reina
Calle,9,Avenida,50,Avenida,52,Calle 9 entre Avenida 50 y Avenida 52,300,Reina
Calle,9,Avenida,52,Avenida,54,Calle 9 entre Avenida 52 y Avenida 54,300,Reina
Calle,9,Avenida,54,Avenida,56,Calle 9 entre Avenida 54 y Avenida 56,300,Reina
Calle,9,Avenida,56,Avenida,58,Calle 9 entre Avenida 56 y Avenida 58,300,Reina
Calle,9A,Avenida,46,Avenida,48,Calle 9A entre Avenida 46 y Avenida 48,300,Reina
Calle,9A,Avenida,48,Avenida,50,Calle 9A entre Avenida 48 y Avenida 50,300,Reina
Calle,9A,Avenida,52,Avenida,54,Calle 9A entre Avenida 52 y Avenida 54,300,Reina
Calle,9A,Avenida,54,Avenida,56,Calle 9A entre Avenida 54 y Avenida 56,300,Reina
Calle,9A,Avenida,56,Avenida,58,Calle 9A entre Avenida 56 y Avenida 58,300,Reina
Calle,11,Avenida,38,Avenida,40,Calle 11 entre Avenida 38 y Avenida 40,300,Reina
Calle,11,Avenida,40,Avenida,42,Calle 11 entre Avenida 40 y Avenida 42,300,Reina
Calle,11,Avenida,42,Avenida,44,Calle 11 entre Avenida 42 y Avenida 44,300,Reina
Calle,11,Avenida,44,Avenida,46,Calle 11 entre Avenida 44 y Avenida 46,300,Reina
Calle,11,Avenida,46,Avenida,48,Calle 11 entre Avenida 46 y Avenida 48,300,Reina
Calle,11,Avenida,48,Avenida,50,Calle 11 entre Avenida 48 y Avenida 50,300,Reina
Calle,11,Avenida,50,Avenida,52,Calle 11 entre Avenida 50 y Avenida 52,300,Reina
Calle,13,Avenida,42,Avenida,44,Calle 13 entre Avenida 42 y Avenida 44,300,Reina
Calle,13,Avenida,44,Avenida,46,Calle 13 entre Avenida 44 y Avenida 46,300,Reina
Calle,13,Avenida,46,Avenida,48,Calle 13 entre Avenida 46 y Avenida 48,300,Reina
Calle,13,Avenida,48,Avenida,50,Calle 13 entre Avenida 48 y Avenida 50,300,Reina
Calle,13,Avenida,50,Avenida,52,Calle 13 entre Avenida 50 y Avenida 52,300,Reina
Calle,15,Avenida,44,Avenida,46,Calle 15 entre Avenida 44 y Avenida 46,300,Reina
Calle,15,Avenida,46,Avenida,48,Calle 15 entre Avenida 46 y Avenida 48,300,Reina
Calle,15,Avenida,48,Avenida,50,Calle 15 entre Avenida 48 y Avenida 50,300,Reina
Calle,15,Avenida,50,Avenida,52,Calle 15 entre Avenida 50 y Avenida 52,300,Reina
Calle,15,Avenida,52,Avenida,54,Calle 15 entre Avenida 52 y Avenida 54,300,Reina
Calle,17,Avenida,44,Avenida,46,Calle 17 entre Avenida 44 y Avenida 46,300,Reina
Calle,17,Avenida,46,Avenida,48,Calle 17 entre Avenida 46 y Avenida 48,300,Reina
Calle,17,Avenida,48,Avenida,50,Calle 17 entre Avenida 48 y Avenida 50,300,Reina
Calle,17,Avenida,50,Avenida,52,Calle 17 entre Avenida 50 y Avenida 52,300,Reina
Calle,17,Avenida,52,Avenida,54,Calle 17 entre Avenida 52 y Avenida 54,300,Reina
Calle,19,Avenida,44,Avenida,46,Calle 19 entre Avenida 44 y Avenida 46,300,Reina
Calle,19,Avenida,46,Avenida,48,Calle 19 entre Avenida 46 y Avenida 48,300,Reina
Calle,19,Avenida,48,Avenida,50,Calle 19 entre Avenida 48 y Avenida 50,300,Reina
